region,demographic-type,demographic,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
00,,,0.09792132651663851,0.08354597883731797,0.0756750817817726,0.06457322601237826,0.06357365279863164,0.06527210100847974,0.06415454990690601,0.06510527543181295,0.06588698301437511,0.06689793171638017,0.06633272791367789,0.06651479119820415,0.07014862145188538
01,,,0.08760089441535776,0.07528070199086118,0.06514271693792427,0.05353505555789681,0.05197106794997407,0.05315473576343142,0.052869268450550906,0.0507920543122957,0.04970535106162457,0.053855732455750246,0.052199697605801273,0.05188278388278388,0.055942722164351005
02,,,,,,,,,,,,,,,0.07451734701146968
04,,,0.13406363559536888,0.10975283488711901,0.09155968257925132,0.07267989313712608,0.07204630498434267,0.07290727017367574,0.06974730558024016,0.06806525226507602,0.06858733565870674,0.06930682156359187,0.06886599721120275,0.071655729161127,0.0762447372279592
05,,,0.09027502244868127,0.07684940348539424,0.07052079162012351,0.05969925134607547,0.05554230710863486,0.05798306456906549,0.05586469789247689,0.05680444766739183,0.05610379311863959,0.057458587908330944,0.05999693446320261,0.05599615477048786,0.06267868444599638
06,,,0.11342412980493104,0.0948832007481218,0.08462712975830165,0.07332152437195934,0.06892158810673087,0.07198547385059675,0.071715951036246,0.0741523423127143,0.07927929080373018,0.07728228906241395,0.0776155777885545,0.07606785452770319,0.07915220617228581
08,,,0.11065063482109587,0.09574164301904303,0.08793873187141567,0.0729686738568762,0.07466754073796592,0.07065043857177739,0.0677869897365752,0.07032963000339447,0.07164334971821602,0.07738825668959064,0.07409835499926679,0.07424187251771999,0.07721680101824353
09,,,0.06373509246989688,0.05727134256908682,0.05170465385913674,0.04369679405904727,0.04410160271678166,0.044801918524978196,0.04701557361791897,0.04487718315120949,0.04452316671608483,0.04345579253969745,0.04379946412253938,0.04267947993216507,0.046032448844049466
10,,,0.08794681778552746,0.07422930568576629,,,,,,,0.06954029711077318,0.07794610847692841,0.07668002031258817,0.08450783311808636,0.08766880673013062
11,,,,,,,,,,,,,,,0.04783895796329189
12,,,0.12303622435730979,0.09939277553078499,0.08769284916541727,0.07735428597820063,0.07937385917362685,0.08050340631338083,0.0783823616437893,0.07772032205976441,0.0797778304418058,0.0824513663270283,0.07979336038956818,0.08047917609951882,0.08336414838516551
13,,,0.10931710236461105,0.09658917338420583,0.08323070801993142,0.0704753879273455,0.06766047331386979,0.06893675881288013,0.06644103062975423,0.0666210541849452,0.06789996209677955,0.07060705808296067,0.06885395628851126,0.06961543825837782,0.0759949407668996
15,,,,,,,,0.04483636044573133,0.04472082561524213,,,,,0.047120191262768965,0.05060772524763182
16,,,0.13581780538302277,0.10884935568479873,0.08759696679159766,0.0678596685422624,0.059075046373439806,0.06292352371732816,0.06146024391028735,0.0629611883085769,0.06629160806375996,0.06763774930088197,0.0723482341616028,0.07591189009947892,0.08049562181651691
17,,,0.081169584498934,0.07284204460625744,0.07029672413032935,0.06090960388218034,0.061739066802045314,0.06102567862314192,0.06089807906306438,0.06197715334097018,0.05983428540141989,0.061822912417163006,0.05857851626281391,0.05770728566862206,0.06050688377376863
18,,,0.0749919718921778,0.06793398590816664,0.062465222480188806,0.0497571377798839,0.04962686941936262,0.05086518542589057,0.050671185202471665,0.051807388805520674,0.04983467170524327,0.050374146526220964,0.05113121711430229,0.05085760074653359,0.05422697501415056
19,,,0.07645716442751498,0.06101578586135896,,,0.04786394509567469,0.04727688705381879,0.04713654818719282,0.04593588752449614,0.04722807396604188,0.04451575890135896,0.047621598457253056,0.04712069983362851,0.05240244509204634
20,,,0.08268254939360133,0.06622718781434114,0.062475028150085356,0.054254690500812525,,0.052049273819481406,0.054017542858230114,0.0510988063533424,0.053551307270678555,0.052435601214458935,0.05416809214277569,0.05258120705166242,0.054224172778194836
21,,,0.07945242859741677,0.06646122083402911,0.06189161254493004,0.05148090351665327,0.055405340543653904,0.05505479540885805,0.053677222483728027,0.05801257128045619,0.056632562920608406,0.049876273419674134,0.05379452098789222,0.05258135472601411,0.056108597285067875
22,,,0.08284516505177823,0.07461469569983024,0.06384627719279491,0.05520830538938219,0.05096874367109971,0.05358668673963462,0.053541753921396436,0.050867832781792396,0.049962221382697396,0.05213795340288664,0.05019404216191365,0.050842166696073506,0.05533521677713789
23,,,,0.06971897489335374,,,,,,,,,0.0560464876388268,0.053110721769899345,0.05771990978060283
24,,,0.0863355382313568,0.07180791015912594,0.06329076002836001,0.05079423906441418,0.05147319843805467,0.05200808710485858,0.051218621157559624,0.05361664877708188,0.054548668517536474,0.05446505496330589,0.05360551758113184,0.05338705873909343,0.05745868782722513
25,,,0.07291496495445246,0.06366976780548823,0.0580308904849679,0.05158141732796689,0.053302089177860654,0.053627030732509066,0.05342464635251288,0.055771545694114584,0.055089404080576845,0.05558371346511235,0.05918941561418207,0.056562384520430546,0.058989753504864934
26,,,0.07901389511429852,0.06761950443531005,0.05994501256500211,0.053275126040680715,0.0521973129662241,0.05279871649528962,0.05195816424164439,0.051393221593612856,0.05171775653990033,0.053548166374988486,0.05035896233175677,0.05066967782361234,0.05343740227249036
27,,,0.08793434838320645,0.0703771892555351,0.0630273095919897,0.0583873318496051,0.05310607268090532,0.052132606630331514,0.04990590367324179,0.050992883093614695,0.052120552283862025,0.053571604294387974,0.052690112677430366,0.051535461027401926,0.05495289472655487
28,,,0.0884414925510816,,0.06555384862311696,0.05264761726166756,0.051450686167434354,0.052150988615937685,0.050553648276195545,0.05261748886563314,,0.05397073934530509,0.05157411028549081,0.05362923001471309,0.05577121517370154
29,,,0.0965000182195824,0.08153716556485432,0.06952527938414622,0.06056663089211599,0.05967169476486247,0.066355757569782,0.06434959429846208,0.06862355823705439,0.06549209055602917,0.06600926673909208,0.06217842663127466,0.06305987099118743,0.06900235815005534
30,,,0.10997637652189715,0.08728108968689191,,,,,,,0.05657035314956271,0.061792641653626405,0.061838540726024925,,0.06363928227446224
31,,,0.07951029905603003,,,0.0531766846866135,,0.0531989435670781,0.053734134936539744,0.054264395175309565,0.05151915455746367,0.05549439026947677,0.05506225892464211,0.055351028499343514,0.057615928199308816
32,,,0.14769172879283177,0.11932665183588285,0.10654732995675201,0.09023927808577531,0.08676923076923077,0.0943121888708167,0.08932499144630725,0.09440652210617718,0.09612260752878028,0.09348175350011476,0.09008364270698216,0.08465374939312353,0.09058251591808639
33,,,,,,,,,,,,0.04593445267248332,,,0.052965717395247594
34,,,0.08146090322440348,0.0717723954841066,0.06476845015377442,0.05676989163106192,0.05742929927332919,0.060740066332834755,0.05960187422126808,0.05981603153745072,0.059732962642805414,0.059210834896810505,0.05840350560699259,0.05795597630928508,0.060172120250950395
35,,,0.09555469425479264,0.08069121846389354,0.07183959186094797,0.0571445959104187,0.051942369597149735,,0.05268314265849188,0.05350225439766305,0.05080794532796832,0.051411161000641435,,,0.0565377890033029
36,,,0.08624373014167226,0.07715810443955863,0.07419163529472436,0.06751096565395882,0.06976466527028324,0.07046356453935113,0.06830601787043553,0.0694127082608235,0.06867147446338273,0.06613326416393148,0.06595943576095563,0.06409684628633522,0.06656571625547841
37,,,0.09747241827400821,0.08202084521518956,0.07381534814515926,0.060875952621430536,0.061124401116804714,0.06079366895242966,0.05796654693614968,0.05927617567875273,0.06071190062775478,0.06346127199667452,0.0652799420653446,0.06850152126589691,0.07097895734359212
38,,,,,,,,,,,,,,,0.05889767388564226
39,,,0.06668671205515346,0.059432016672743004,0.0552064531942866,0.04624101411882337,0.04673775189064775,0.047019565307586074,0.04611702253714719,0.04619753263177989,0.04588947939197488,0.044951030665059344,0.0449599117939622,0.0468742451326151,0.04933759984485413
40,,,0.09110845295055821,0.0781582628793869,0.07292172330097087,0.06381618016536476,0.05699194628805494,0.059701723444413504,0.059565651139590205,0.06043863799392561,0.058611895436742875,0.05839438200542992,0.05745620715917746,0.05798165137614679,0.05950815159208393
41,,,0.1055589794157525,0.08610344994435573,0.07634991173068728,0.06186156426284495,0.05974156737707669,0.060783804827407216,0.05833526667182223,0.060254643804858135,0.06076708051071546,0.06458582840492388,0.0677853484101672,0.0676297957625501,0.07224731624332727
42,,,0.06829194008361714,0.06028997311293032,0.05723600627755773,0.047574153997754415,0.04601770761773452,0.047390166178944884,0.047100162248826336,0.0479228458071723,0.04701914540471687,0.04813004674883128,0.04752172181681228,0.048727966432380615,0.05147080091400804
44,,,,,,,,,,,,0.05188612435673481,,,0.059515506579253266
45,,,0.09535911894739629,0.08178846908092562,0.07068315587593413,0.05796902460456942,0.05581897761068402,0.054994228384945346,0.055056451727721854,0.05799693408277976,0.058318021201413425,0.06497963283298923,0.06098779970149663,0.0624079155458834,0.06847091383256161
46,,,,,,,,,,,,,,,0.05939045312342315
47,,,0.08916256681082574,0.07762571509845444,0.069980254357842,0.05654544064148923,0.05893620812544548,0.05849745369327144,0.057191962821832,0.057371679016808244,0.0567715690151986,0.05860545827417574,0.0596761964229963,0.06108086575487983,0.0634843818741751
48,,,0.10022162382513536,0.08931419457735247,0.08524138008515993,0.07133567489032767,0.07172790836900902,0.07545988148397786,0.07541168850855072,0.07494383210066588,0.0762568680404965,0.07803266337573869,0.07703722022999876,0.07933167592491278,0.08287992695328472
49,,,0.14046494510212845,0.12587140998504767,0.10482870872732909,0.0864507253120764,0.08336068937217891,0.08180663141932046,0.08173395767599831,0.07838507850312831,0.08003457216940363,0.08099331781665291,0.08343580802055611,0.08565329697926383,0.09170252425831403
50,,,,,,,,,,,,,,,0.04377996467322735
51,,,0.09907096121172686,0.07974633656981119,0.07231826401446655,0.05885145811850412,0.057013193880924476,0.059323059239878406,0.05776613522424461,0.05924691719391469,0.058297741841382866,0.060803635742557344,0.058638366098154725,0.05861022772964872,0.06146994292545321
53,,,0.11385191954720343,0.09475757940327238,0.0851148625784863,0.06902000046931098,0.06503884572697004,0.06939880612843359,0.06610331198037345,0.06747804285906966,0.06951319648093841,0.07356249472140537,0.07383243830326434,0.0756566227430917,0.08112850281102184
54,,,,,,,,,,,,,,,0.04466769064718336
55,,,0.07606551096638253,0.06300467590325586,0.05458771141752275,0.0462299283225884,0.0454402115863893,0.0451406781407812,0.04368305254568179,0.04457711028830553,0.04588357588357588,0.04627273291539942,0.04564056393362117,0.0461017297130832,0.0487632218813801
56,,,,,,,,,,,,,,,0.09097244219195438
